,,客   運   人   數  (人 次)   Passengers Carried  (Passenger),,,,,延      人      公      里  (人 公 里)     Passenger-Kilometers  (Passenger-Km),,,,
年    月    別,,總       計,自  強  號,莒  光  號,區 間 列 車,普  通  車,總       計,自  強  號,莒  光  號,區 間 列 車,普  通  車
Year  &  Month,,,,,,,,,,,
,,Grand  Total,Tze-Chiang,Chu-Kuang,Local  Train,Ordinary  Train,Grand  Total,Tze-Chiang,Chu-Kuang,Local  Train,Ordinary  Train
民 國 112 年,2023,"219,308,388","37,708,215","1,565,522","179,950,076","84,575","10,299,797,952","5,189,585,477","168,216,786","4,934,466,827","7,528,862"
,,,,,,,,,,,
            1     月 ,Jan.,"17,228,176","3,188,910","158,868","13,880,398",-,"851,908,790","446,278,009","17,169,106","388,461,675",-
            2     月 ,Feb.,"16,760,067","2,865,492","139,746","13,734,827","20,002","789,291,819","391,445,846","14,685,187","381,196,783","1,964,003"
            3     月 ,Mar.,"17,984,844","2,863,527","133,682","14,987,634",1,"805,414,528","388,618,122","14,126,245","402,670,114",47
,,,,,,,,,,,
            4     月 ,Apr.,"18,274,320","3,213,270","160,254","14,900,796",-,"885,413,450","444,354,684","17,345,293","423,713,473",-
            5     月 ,May,"17,786,053","3,022,154","115,083","14,648,815",1,"817,180,110","408,169,565","12,272,288","396,738,159",98
            6     月 ,June,"17,065,389","3,106,172","117,391","13,841,826",-,"822,750,250","429,502,322","12,952,270","380,295,658",-
,,,,,,,,,,,
            7     月 ,July,"17,477,767","3,266,937","117,206","14,043,624","50,000","865,539,313","461,182,673","13,186,587","386,260,053","4,910,000"
            8     月 ,Aug.,"18,274,528","3,360,670","117,510","14,796,348",-,"894,777,991","476,347,818","12,750,770","405,679,403",-
            9     月 ,Sep.,"18,151,603","2,935,704","108,631","15,107,268",-,"820,094,539","400,405,478","11,463,190","408,225,871",-
,,,,,,,,,,,
            10     月 ,Oct.,"19,759,694","3,301,865","130,955","16,326,874",-,"923,541,458","455,919,287","14,149,795","453,472,376",-
            11     月 ,Nov.,"19,635,979","3,172,041","124,109","16,339,529",300,"883,315,843","429,691,032","13,151,032","440,453,439","20,340"
            12     月 ,Dec.,"20,909,968","3,411,473","142,087","17,342,137","14,271","940,569,861","457,670,641","14,965,023","467,299,823","634,374"
民 國 113 年,2024,"237,070,271","39,851,312","1,459,119","195,709,840","50,000","10,791,380,719","5,364,827,765","150,725,511","5,270,917,443","4,910,000"
,,,,,,,,,,,
            1     月 ,Jan.,"19,516,241","3,227,515","121,589","16,117,137","50,000","881,661,963","436,851,065","13,075,048","426,825,850","4,910,000"
            2     月 ,Feb.,"19,120,047","3,428,532","142,428","15,549,087",-,"921,265,802","472,262,236","15,324,365","433,679,201",-
            3     月 ,Mar.,"20,743,300","3,380,281","144,350","17,218,669",-,"936,252,234","456,413,866","15,230,795","464,607,573",-
,,,,,,,,,,,
            4     月 ,Apr.,"19,569,575","3,153,315","134,398","16,281,862",-,"880,473,509","422,032,325","14,380,812","444,060,372",-
            5     月 ,May,"20,078,807","3,152,793","120,393","16,805,621",-,"882,279,995","418,706,379","12,353,575","451,220,041",-
            6     月 ,June,"19,269,546","3,323,255","124,407","15,821,884",-,"900,096,353","453,338,155","13,104,902","433,653,296",-
,,,,,,,,,,,
            7     月 ,July,"17,997,566","3,140,256","88,887","14,768,423",-,"829,371,346","424,871,435","8,983,594","395,516,317",-
            8     月 ,Aug.,"20,011,511","3,615,067","111,650","16,284,794",-,"946,664,116","496,258,138","11,239,455","439,166,523",-
            9     月 ,Sep.,"19,478,990","3,355,414","116,774","16,006,802",-,"894,962,557","452,832,096","11,646,461","430,484,000",-
,,,,,,,,,,,
            10     月 ,Oct.,"18,824,418","3,081,161","106,381","15,636,876",-,"837,805,559","409,139,457","10,586,984","418,079,118",-
            11     月 ,Nov.,"20,614,458","3,399,852","119,537","17,095,069",-,"917,103,848","450,770,864","11,953,308","454,379,676",-
            12     月 ,Dec.,"21,845,812","3,593,871","128,325","18,123,616",-,"963,443,437","471,351,749","12,846,212","479,245,476",-
民 國114年,2025,"242,772,738","39,806,648","1,429,092","201,536,997",,,,,,
,,,,,,,,,,,
                1              月,Jan.,"20,271,771","3,625,562","123,740","16,522,469",,,,,,
                2              月,Feb.,"18,968,877","3,207,694","114,958","15,646,225",,,,,,
                3              月,Mar.,"21,188,824","3,508,371","124,075","17,556,378",,,,,,
,,,,,,,,,,,
                4              月,Apr.,"21,092,782","3,543,420","138,081","17,411,280",,,,,,
                5              月,May,"21,370,227","3,546,202","139,666","17,684,359",,,,,,
                6              月,June,"19,735,889","3,252,758","117,226","16,365,905",,,,,,
,,,,,,,,,,,
                7              月,July,"18,646,786","3,039,096","99,496","15,508,194",,,,,,
                8              月,Aug.,"19,994,150","3,389,019","114,668","16,490,463",,,,,,
                9              月,Sep.,"19,355,356","2,925,104","100,757","16,329,495",,,,,,
,,,,,,,,,,,
                10              月,Oct.,"20,885,142","3,550,642","131,743","17,202,757",,,,,,
                11              月,Nov.,"20,129,177","3,036,889","114,298","16,977,990",,,,,,
                12              月,Dec.,"21,133,757","3,181,891","110,384","17,841,482",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
